rank,title,year,director,cast,country,rating,votes,genre,url
1,Metropolis,1927,Fritz Lang,"Gustav Fröhlich, Brigitte Helm, Alfred Abel",Germany,8.2,40427,sci_fi,https://www.filmaffinity.com/us/film282386.html
2,A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates",United Kingdom,8.2,171721,sci_fi,https://www.filmaffinity.com/us/film745383.html
3,Blade Runner,1982,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",United States,8.1,140190,sci_fi,https://www.filmaffinity.com/us/film358476.html
4,Star Wars. Episode V: The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",United States,8.1,139115,sci_fi,https://www.filmaffinity.com/us/film605090.html
5,Alien,1979,Ridley Scott,"Sigourney Weaver, John Hurt, Yaphet Kotto",United Kingdom,8.1,127852,sci_fi,https://www.filmaffinity.com/us/film708792.html
6,Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",United States,8.0,161055,sci_fi,https://www.filmaffinity.com/us/film971380.html
7,The Matrix,1999,Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",United States,7.9,199609,sci_fi,https://www.filmaffinity.com/us/film932476.html
8,Star Wars IV: A New Hope,1977,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",United States,7.9,139680,sci_fi,https://www.filmaffinity.com/us/film712041.html
9,Interstellar,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, David Gyasi",United States,7.9,107958,sci_fi,https://www.filmaffinity.com/us/film704416.html
10,WALL•E,2008,Andrew Stanton,"Fred Willard, Ben Burtt",United States,7.9,132533,sci_fi,https://www.filmaffinity.com/us/film744679.html
11,Star Wars. Episode VI: Return of the Jedi,1983,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher",United States,7.9,125120,sci_fi,https://www.filmaffinity.com/us/film226172.html
12,Black Mirror: White Christmas,2014,Carl Tibbetts,"Jon Hamm, Rafe Spall, Oona Chaplin",United Kingdom,7.8,30520,sci_fi,https://www.filmaffinity.com/us/film992177.html
13,Stalker,1979,Andrei Tarkovsky,"Aleksandr Kaidanovsky, Anatoly Solonitsyn, Nikolai Grinko",Soviet Union  (USSR),7.8,15733,sci_fi,https://www.filmaffinity.com/us/film534365.html
14,2001: A Space Odyssey,1968,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester",United Kingdom,7.8,117992,sci_fi,https://www.filmaffinity.com/us/film171099.html
15,Spider-Man: Across the Spider-Verse,2023,Joaquim Dos Santos,"Shameik Moore, Hailee Steinfeld",United States,7.7,18556,sci_fi,https://www.filmaffinity.com/us/film213653.html
16,The End of Evangelion,1997,Hideaki Anno,,Japan,7.7,7974,sci_fi,https://www.filmaffinity.com/us/film736034.html
17,Dune: Part Two,2024,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson",United States,7.6,38104,sci_fi,https://www.filmaffinity.com/us/film180929.html
18,Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,,Japan,7.6,22392,sci_fi,https://www.filmaffinity.com/us/film313630.html
19,Akira,1988,Katsuhiro Ōtomo,,Japan,7.6,60659,sci_fi,https://www.filmaffinity.com/us/film144113.html
20,The Vanishment of Haruhi Suzumiya,2010,Yasuhiro Takemoto,,Japan,7.6,818,sci_fi,https://www.filmaffinity.com/us/film579842.html
21,Invasion of the Body Snatchers,1956,Don Siegel,"Kevin McCarthy, Dana Wynter, Larry Gates",United States,7.6,17718,sci_fi,https://www.filmaffinity.com/us/film826070.html
22,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst",United States,7.6,108642,sci_fi,https://www.filmaffinity.com/us/film982810.html
23,Evangelion 2.0 You Can (Not) Advance,2009,Hideaki Anno,,Japan,7.5,4883,sci_fi,https://www.filmaffinity.com/us/film913779.html
24,The Incredible Shrinking Man,1957,Jack Arnold,"Grant Williams, Randy Stuart, April Kent",United States,7.5,15332,sci_fi,https://www.filmaffinity.com/us/film607561.html
25,The Wild Robot,2024,Chris Sanders,"Lupita Nyong'o, Pedro Pascal",United States,7.5,16158,sci_fi,https://www.filmaffinity.com/us/film605382.html
26,Planet of the Apes,1968,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter",United States,7.5,59567,sci_fi,https://www.filmaffinity.com/us/film674289.html
27,Back to the Future,1985,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",United States,7.5,146167,sci_fi,https://www.filmaffinity.com/us/film309023.html
28,Ghost in the Shell,1995,Mamoru Oshii,,Japan,7.5,37871,sci_fi,https://www.filmaffinity.com/us/film523268.html
29,Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",United States,7.5,131453,sci_fi,https://www.filmaffinity.com/us/film576352.html
30,Solaris,1972,Andrei Tarkovsky,"Donatas Banionis, Natalya Bondarchuk, Yuri Jarvet",Soviet Union  (USSR),7.5,16124,sci_fi,https://www.filmaffinity.com/us/film780690.html
